Date compared,Date assessed,Slope IDs,Tree IDs,Status (in Order / follow-up
2022-09-03,2022-09-05,SA1745,TS015,"Follow-Up (Sway): F = 11.8104 day1: 1.57397 day2: 0.00018, Follow-Up (Trend) day1: -0.0171 day2: 0.00263"
2022-09-03,2022-09-05,SA2322,TS001,Follow-Up (Sway): F = 1.14957 day1: 5.92864 day2: 6.81544
2022-09-03,2022-09-05,SA1652,TS003,In Order
2022-09-03,2022-09-05,SA1707,TS001,No Data
2022-09-03,2022-09-05,SA1706,TS001,In Order
2022-09-03,2022-09-05,SA1860,TS058,In Order
2022-09-04,2022-09-06,SA1745,TS008,Follow-Up (Sway): F = 1.18264 day1: 1.08272 day2: 1.28048
2022-09-04,2022-09-06,SA1745,TS013,In Order
2022-09-04,2022-09-06,SA1745,TS015,", Follow-Up (Trend) day1: 0.00263 day2: 0.01693"
2022-09-04,2022-09-06,SA2322,TS001,In Order
2022-09-04,2022-09-06,SA1652,TS003,In Order
2022-09-04,2022-09-06,SA1707,TS001,No Data
2022-09-04,2022-09-06,SA1706,TS001,Follow-Up (Sway): F = 1.02990 day1: 5.28001 day2: 5.43791
2022-09-04,2022-09-06,SA1860,TS058,In Order
2022-09-05,2022-09-07,SA1745,TS008,In Order
2022-09-05,2022-09-07,SA1745,TS013,In Order
2022-09-05,2022-09-07,SA1745,TS015,Follow-Up (Sway): F = 1.08899 day1: 4.90820 day2: 5.34499
2022-09-05,2022-09-07,SA2322,TS001,In Order
2022-09-05,2022-09-07,SA1652,TS003,Follow-Up (Sway): F = 1.01022 day1: 5.40137 day2: 5.45660
2022-09-05,2022-09-07,SA1707,TS001,No Data
2022-09-05,2022-09-07,SA1706,TS001,Follow-Up (Sway): F = 1.07644 day1: 5.43791 day2: 5.85360
2022-09-05,2022-09-07,SA1860,TS058,In Order
2022-09-06,2022-09-08,SA1745,TS008,Follow-Up (Sway): F = 1.59037 day1: 6.30629 day2: 1.00293
2022-09-06,2022-09-08,SA1745,TS013,Follow-Up (Sway): F = 1.10553 day1: 4.88303 day2: 5.39836
2022-09-06,2022-09-08,SA1745,TS015,Follow-Up (Sway): F = 1.05037 day1: 5.34499 day2: 5.61422
2022-09-06,2022-09-08,SA2322,TS001,Follow-Up (Sway): F = 1.12725 day1: 5.53522 day2: 6.23959
2022-09-06,2022-09-08,SA1652,TS003,In Order
2022-09-06,2022-09-08,SA1707,TS001,No Data
2022-09-06,2022-09-08,SA1706,TS001,Follow-Up (Sway): F = 1.03719 day1: 5.35353 day2: 5.55267
2022-09-06,2022-09-08,SA1860,TS058,Follow-Up (Sway): F = 1.21989 day1: 5.57594 day2: 6.80206
2022-09-07,2022-09-09,SA1745,TS008,Follow-Up (Sway): F = 1.05320 day1: 1.00293 day2: 1.05629
2022-09-07,2022-09-09,SA1745,TS013,In Order
2022-09-07,2022-09-09,SA1745,TS015,In Order
2022-09-07,2022-09-09,SA2322,TS001,In Order
2022-09-07,2022-09-09,SA1652,TS003,In Order
2022-09-07,2022-09-09,SA1707,TS001,No Data
2022-09-07,2022-09-09,SA1706,TS001,Follow-Up (Sway): F = 1.42865 day1: 5.55267 day2: 7.93287
2022-09-07,2022-09-09,SA1860,TS058,Follow-Up (Sway): F = 1.07009 day1: 6.93196 day2: 7.41785
2022-09-08,2022-09-10,SA1745,TS008,In Order
2022-09-08,2022-09-10,SA1745,TS013,In Order
2022-09-08,2022-09-10,SA1745,TS015,In Order
2022-09-08,2022-09-10,SA2322,TS001,In Order
2022-09-08,2022-09-10,SA1652,TS003,Follow-Up (Sway): F = 1.01330 day1: 5.27913 day2: 5.34936
2022-09-08,2022-09-10,SA1707,TS001,No Data
2022-09-08,2022-09-10,SA1706,TS001,In Order
2022-09-08,2022-09-10,SA1860,TS058,In Order
2022-09-09,2022-09-11,SA1745,TS008,Follow-Up (Sway): F = 1.32071 day1: 8.23714 day2: 1.08789
2022-09-09,2022-09-11,SA1745,TS013,Follow-Up (Sway): F = 1.05005 day1: 5.14216 day2: 5.39953
2022-09-09,2022-09-11,SA1745,TS015,Follow-Up (Sway): F = 1.08199 day1: 4.68180 day2: 5.06569
2022-09-09,2022-09-11,SA2322,TS001,Follow-Up (Sway): F = 1.05190 day1: 5.32612 day2: 5.60257
2022-09-09,2022-09-11,SA1652,TS003,In Order
2022-09-09,2022-09-11,SA1707,TS001,No Data
2022-09-09,2022-09-11,SA1706,TS001,Follow-Up (Sway): F = 1.05875 day1: 5.46789 day2: 5.78914
2022-09-09,2022-09-11,SA1860,TS058,Follow-Up (Sway): F = 1.22307 day1: 5.66349 day2: 6.92684
2022-09-10,2022-09-12,SA1745,TS008,Follow-Up (Sway): F = 1.27151 day1: 1.08789 day2: 1.38327
2022-09-10,2022-09-12,SA1745,TS013,Follow-Up (Sway): F = 1.05405 day1: 5.39953 day2: 5.69140
2022-09-10,2022-09-12,SA1745,TS015,Follow-Up (Sway): F = 1.15978 day1: 5.06569 day2: 5.87512
2022-09-10,2022-09-12,SA2322,TS001,Follow-Up (Sway): F = 1.07574 day1: 5.65025 day2: 6.07823
2022-09-10,2022-09-12,SA1652,TS003,In Order
2022-09-10,2022-09-12,SA1707,TS001,No Data
2022-09-10,2022-09-12,SA1706,TS001,Follow-Up (Sway): F = 1.04853 day1: 5.86144 day2: 6.14595
2022-09-10,2022-09-12,SA1860,TS058,Follow-Up (Sway): F = 1.13343 day1: 7.32364 day2: 8.30089
2022-09-11,2022-09-13,SA1745,TS008,Follow-Up (Sway): F = 1.11799 day1: 1.38327 day2: 1.54648
2022-09-11,2022-09-13,SA1745,TS013,Follow-Up (Sway): F = 1.06220 day1: 5.69140 day2: 6.04543
2022-09-11,2022-09-13,SA1745,TS015,No Data
2022-09-11,2022-09-13,SA2322,TS001,In Order
2022-09-11,2022-09-13,SA1652,TS003,In Order
2022-09-11,2022-09-13,SA1707,TS001,No Data
2022-09-11,2022-09-13,SA1706,TS001,"Follow-Up (Sway): F = 22.4721 day1: 6.14595 day2: 0.00013, Follow-Up (Trend) day1: 0.05561 day2: 0.08487"
2022-09-11,2022-09-13,SA1860,TS058,In Order
2022-09-12,2022-09-14,SA1745,TS008,In Order
2022-09-12,2022-09-14,SA1745,TS013,In Order
2022-09-12,2022-09-14,SA1745,TS015,Error analyzing data
2022-09-12,2022-09-14,SA2322,TS001,Follow-Up (Sway): F = 1.04517 day1: 6.20132 day2: 6.48145
2022-09-12,2022-09-14,SA1652,TS003,Follow-Up (Sway): F = 1.00196 day1: 5.27023 day2: 5.28059
2022-09-12,2022-09-14,SA1707,TS001,No Data
2022-09-12,2022-09-14,SA1706,TS001,In Order
2022-09-12,2022-09-14,SA1860,TS058,In Order
2022-09-13,2022-09-15,SA1745,TS008,In Order
2022-09-13,2022-09-15,SA1745,TS013,In Order
2022-09-13,2022-09-15,SA1745,TS015,In Order
2022-09-13,2022-09-15,SA2322,TS001,In Order
2022-09-13,2022-09-15,SA1652,TS003,In Order
2022-09-13,2022-09-15,SA1707,TS001,No Data
2022-09-13,2022-09-15,SA1706,TS001,Follow-Up (Sway): F = 1.01822 day1: 5.62919 day2: 5.73179
2022-09-13,2022-09-15,SA1860,TS058,In Order
2022-09-14,2022-09-16,SA1745,TS008,In Order
2022-09-14,2022-09-16,SA1745,TS013,Follow-Up (Sway): F = 1.04548 day1: 5.42220 day2: 5.66882
2022-09-14,2022-09-16,SA1745,TS015,In Order
2022-09-14,2022-09-16,SA2322,TS001,Follow-Up (Sway): F = 1.02795 day1: 5.90139 day2: 6.06639
2022-09-14,2022-09-16,SA1652,TS003,In Order
2022-09-14,2022-09-16,SA1707,TS001,No Data
2022-09-14,2022-09-16,SA1706,TS001,Follow-Up (Sway): F = 1.00527 day1: 5.73179 day2: 5.76202
2022-09-14,2022-09-16,SA1860,TS058,Follow-Up (Sway): F = 1.02405 day1: 7.86330 day2: 8.05243
2022-09-15,2022-09-17,SA1745,TS008,No Data
2022-09-15,2022-09-17,SA1745,TS013,"Follow-Up (Sway): F = 36.0863 day1: 5.66882 day2: 0.00020, Follow-Up (Trend) day1: 0.12318 day2: 0.10850"
2022-09-15,2022-09-17,SA1745,TS015,In Order
2022-09-15,2022-09-17,SA2322,TS001,In Order
2022-09-15,2022-09-17,SA1652,TS003,No Data
2022-09-15,2022-09-17,SA1707,TS001,No Data
2022-09-15,2022-09-17,SA1706,TS001,In Order
2022-09-15,2022-09-17,SA1860,TS058,In Order
2022-09-17,2022-09-18,SA1745,TS008,Follow-Up (Sway): F = 1.16033 day1: 1.10283 day2: 1.27966
2022-09-17,2022-09-18,SA1745,TS013,Follow-Up (Sway): F = 1.06525 day1: 5.07376 day2: 5.40486
2022-09-17,2022-09-18,SA1745,TS015,In Order
2022-09-17,2022-09-18,SA2322,TS001,Follow-Up (Sway): F = 1.28127 day1: 5.34793 day2: 6.85217
2022-09-17,2022-09-18,SA1652,TS003,In Order
2022-09-17,2022-09-18,SA1707,TS001,No Data
2022-09-17,2022-09-18,SA1706,TS001,Follow-Up (Sway): F = 1.12598 day1: 5.63939 day2: 6.34986
2022-09-17,2022-09-18,SA1860,TS058,In Order
2022-09-18,2022-09-19,SA1745,TS008,In Order
2022-09-18,2022-09-19,SA1745,TS013,In Order
2022-09-18,2022-09-19,SA1745,TS015,Follow-Up (Sway): F = 1.28906 day1: 5.07950 day2: 6.54779
2022-09-18,2022-09-19,SA2322,TS001,In Order
2022-09-18,2022-09-19,SA1652,TS003,Follow-Up (Sway): F = 1.05740 day1: 5.32954 day2: 5.63549
2022-09-18,2022-09-19,SA1707,TS001,No Data
2022-09-18,2022-09-19,SA1706,TS001,In Order
2022-09-18,2022-09-19,SA1860,TS058,In Order
2022-09-19,2022-09-20,SA1745,TS008,In Order
2022-09-19,2022-09-20,SA1745,TS013,In Order
2022-09-19,2022-09-20,SA1745,TS015,In Order
2022-09-19,2022-09-20,SA2322,TS001,In Order
2022-09-19,2022-09-20,SA1652,TS003,In Order
2022-09-19,2022-09-20,SA1707,TS001,No Data
2022-09-19,2022-09-20,SA1706,TS001,"Follow-Up (Sway): F = 17.2024 day1: 6.22484 day2: 0.00010, Follow-Up (Trend) day1: 0.08428 day2: 0.07753"
2022-09-19,2022-09-20,SA1860,TS058,In Order
2022-09-20,2022-09-21,SA1745,TS008,In Order
2022-09-20,2022-09-21,SA1745,TS013,Follow-Up (Sway): F = 1.01815 day1: 4.81327 day2: 4.90063
2022-09-20,2022-09-21,SA1745,TS015,Follow-Up (Sway): F = 1.03408 day1: 4.79018 day2: 4.95347
2022-09-20,2022-09-21,SA2322,TS001,In Order
2022-09-20,2022-09-21,SA1652,TS003,In Order
2022-09-20,2022-09-21,SA1707,TS001,No Data
2022-09-20,2022-09-21,SA1706,TS001,", Follow-Up (Trend) day1: 0.07753 day2: 0.06432"
2022-09-20,2022-09-21,SA1860,TS058,Follow-Up (Sway): F = 1.14821 day1: 4.98336 day2: 5.72196
2022-09-21,2022-09-22,SA1745,TS008,Follow-Up (Sway): F = 1.08365 day1: 7.46878 day2: 8.09354
2022-09-21,2022-09-22,SA1745,TS013,In Order
2022-09-21,2022-09-22,SA1745,TS015,In Order
2022-09-21,2022-09-22,SA2322,TS001,Follow-Up (Sway): F = 1.05020 day1: 5.05663 day2: 5.31051
2022-09-21,2022-09-22,SA1652,TS003,In Order
2022-09-21,2022-09-22,SA1707,TS001,No Data
2022-09-21,2022-09-22,SA1706,TS001,In Order
2022-09-21,2022-09-22,SA1860,TS058,In Order
2022-09-22,2022-09-23,SA1745,TS008,Follow-Up (Sway): F = 1.32638 day1: 8.09354 day2: 1.07351
2022-09-22,2022-09-23,SA1745,TS013,Follow-Up (Sway): F = 1.00688 day1: 4.97442 day2: 5.00869
2022-09-22,2022-09-23,SA1745,TS015,Follow-Up (Sway): F = 1.03593 day1: 4.73029 day2: 4.90025
2022-09-22,2022-09-23,SA2322,TS001,In Order
2022-09-22,2022-09-23,SA1652,TS003,In Order
2022-09-22,2022-09-23,SA1707,TS001,No Data
2022-09-22,2022-09-23,SA1706,TS001,In Order
2022-09-22,2022-09-23,SA1860,TS058,Follow-Up (Sway): F = 1.24033 day1: 5.43769 day2: 6.74453
2022-09-23,2022-09-24,SA1745,TS008,In Order
2022-09-23,2022-09-24,SA1745,TS013,Follow-Up (Sway): F = 1.01421 day1: 5.00869 day2: 5.07991
2022-09-23,2022-09-24,SA1745,TS015,Follow-Up (Sway): F = 1.20641 day1: 4.90025 day2: 5.91175
2022-09-23,2022-09-24,SA2322,TS001,In Order
2022-09-23,2022-09-24,SA1652,TS003,In Order
2022-09-23,2022-09-24,SA1707,TS001,No Data
2022-09-23,2022-09-24,SA1706,TS001,Follow-Up (Sway): F = 1.10182 day1: 5.44166 day2: 5.99575
2022-09-23,2022-09-24,SA1860,TS058,Follow-Up (Sway): F = 1.13765 day1: 6.74453 day2: 7.67295
2022-09-24,2022-09-25,SA1745,TS008,In Order
2022-09-24,2022-09-25,SA1745,TS013,Follow-Up (Sway): F = 1.01377 day1: 5.07991 day2: 5.14990
2022-09-24,2022-09-25,SA1745,TS015,In Order
2022-09-24,2022-09-25,SA2322,TS001,Follow-Up (Sway): F = 1.04258 day1: 5.12416 day2: 5.34237
2022-09-24,2022-09-25,SA1652,TS003,In Order
2022-09-24,2022-09-25,SA1707,TS001,No Data
2022-09-24,2022-09-25,SA1706,TS001,In Order
2022-09-24,2022-09-25,SA1860,TS058,In Order
2022-09-25,2022-09-26,SA1745,TS008,Follow-Up (Sway): F = 1.28808 day1: 1.12198 day2: 1.44520
2022-09-25,2022-09-26,SA1745,TS013,Follow-Up (Sway): F = 1.07028 day1: 5.14990 day2: 5.51184
2022-09-25,2022-09-26,SA1745,TS015,Follow-Up (Sway): F = 1.06431 day1: 4.70640 day2: 5.00911
2022-09-25,2022-09-26,SA2322,TS001,In Order
2022-09-25,2022-09-26,SA1652,TS003,In Order
2022-09-25,2022-09-26,SA1707,TS001,No Data
2022-09-25,2022-09-26,SA1706,TS001,Follow-Up (Sway): F = 1.02037 day1: 5.52277 day2: 5.63530
2022-09-25,2022-09-26,SA1860,TS058,Follow-Up (Sway): F = 1.15156 day1: 6.53209 day2: 7.52212
2022-09-26,2022-09-27,SA1745,TS008,In Order
2022-09-26,2022-09-27,SA1745,TS013,In Order
2022-09-26,2022-09-27,SA1745,TS015,In Order
2022-09-26,2022-09-27,SA2322,TS001,In Order
2022-09-26,2022-09-27,SA1652,TS003,In Order
2022-09-26,2022-09-27,SA1707,TS001,No Data
2022-09-26,2022-09-27,SA1706,TS001,In Order
2022-09-26,2022-09-27,SA1860,TS058,In Order
2022-09-27,2022-09-28,SA1745,TS008,In Order
2022-09-27,2022-09-28,SA1745,TS013,In Order
2022-09-27,2022-09-28,SA1745,TS015,In Order
2022-09-27,2022-09-28,SA2322,TS001,In Order
2022-09-27,2022-09-28,SA1652,TS003,In Order
2022-09-27,2022-09-28,SA1707,TS001,No Data
2022-09-27,2022-09-28,SA1706,TS001,In Order
2022-09-27,2022-09-28,SA1860,TS058,In Order
2022-09-28,2022-09-29,SA1745,TS008,In Order
2022-09-28,2022-09-29,SA1745,TS013,Follow-Up (Sway): F = 1.03566 day1: 4.84745 day2: 5.02035
2022-09-28,2022-09-29,SA1745,TS015,Follow-Up (Sway): F = 1.04175 day1: 4.79628 day2: 4.99654
2022-09-28,2022-09-29,SA2322,TS001,In Order
2022-09-28,2022-09-29,SA1652,TS003,In Order
2022-09-28,2022-09-29,SA1707,TS001,No Data
2022-09-28,2022-09-29,SA1706,TS001,Follow-Up (Sway): F = 1.11014 day1: 5.14313 day2: 5.70964
2022-09-28,2022-09-29,SA1860,TS058,Follow-Up (Sway): F = 1.31341 day1: 5.04561 day2: 6.62696
2022-09-29,2022-09-30,SA1745,TS008,Follow-Up (Sway): F = 1.02940 day1: 7.01086 day2: 7.21700
2022-09-29,2022-09-30,SA1745,TS013,Follow-Up (Sway): F = 1.15582 day1: 5.02035 day2: 5.80264
2022-09-29,2022-09-30,SA1745,TS015,Follow-Up (Sway): F = 84.0320 day1: 4.99654 day2: 0.00041
2022-09-29,2022-09-30,SA2322,TS001,In Order
2022-09-29,2022-09-30,SA1652,TS003,Follow-Up (Sway): F = 1.00949 day1: 5.34448 day2: 5.39523
2022-09-29,2022-09-30,SA1707,TS001,No Data
2022-09-29,2022-09-30,SA1706,TS001,In Order
2022-09-29,2022-09-30,SA1860,TS058,Follow-Up (Sway): F = 1.07745 day1: 6.37147 day2: 6.86499
2022-09-30,2022-10-01,SA1745,TS008,Follow-Up (Sway): F = 1.40956 day1: 7.21700 day2: 1.01728
2022-09-30,2022-10-01,SA1745,TS013,In Order
2022-09-30,2022-10-01,SA1745,TS015,In Order
2022-09-30,2022-10-01,SA2322,TS001,In Order
2022-09-30,2022-10-01,SA1652,TS003,Follow-Up (Sway): F = 1.00616 day1: 5.37203 day2: 5.40517
2022-09-30,2022-10-01,SA1707,TS001,No Data
2022-09-30,2022-10-01,SA1706,TS001,In Order
2022-09-30,2022-10-01,SA1860,TS058,In Order
2022-10-01,2022-10-02,SA1745,TS008,In Order
2022-10-01,2022-10-02,SA1745,TS013,In Order
2022-10-01,2022-10-02,SA1745,TS015,"Follow-Up (Sway): F = 7.60703 day1: 4.78736 day2: 0.00036, Follow-Up (Trend) day1: -0.0320 day2: -0.0137"
2022-10-01,2022-10-02,SA2322,TS001,Follow-Up (Sway): F = 1.02183 day1: 5.24385 day2: 5.35833
2022-10-01,2022-10-02,SA1652,TS003,In Order
2022-10-01,2022-10-02,SA1707,TS001,No Data
2022-10-01,2022-10-02,SA1706,TS001,In Order
2022-10-01,2022-10-02,SA1860,TS058,In Order
2022-10-02,2022-10-03,SA1745,TS008,Follow-Up (Sway): F = 1.25363 day1: 9.24517 day2: 1.15900
2022-10-02,2022-10-03,SA1745,TS013,In Order
2022-10-02,2022-10-03,SA1745,TS015,", Follow-Up (Trend) day1: -0.0137 day2: -0.0001"
2022-10-02,2022-10-03,SA2322,TS001,In Order
2022-10-02,2022-10-03,SA1652,TS003,In Order
2022-10-02,2022-10-03,SA1707,TS001,No Data
2022-10-02,2022-10-03,SA1706,TS001,In Order
2022-10-02,2022-10-03,SA1860,TS058,Follow-Up (Sway): F = 1.10111 day1: 5.88491 day2: 6.47994
2022-10-03,2022-10-04,SA1745,TS008,Follow-Up (Sway): F = 1.14435 day1: 1.15900 day2: 1.32631
2022-10-03,2022-10-04,SA1745,TS013,Follow-Up (Sway): F = 1.03906 day1: 4.97752 day2: 5.17198
2022-10-03,2022-10-04,SA1745,TS015,In Order
2022-10-03,2022-10-04,SA2322,TS001,In Order
2022-10-03,2022-10-04,SA1652,TS003,In Order
2022-10-03,2022-10-04,SA1707,TS001,No Data
2022-10-03,2022-10-04,SA1706,TS001,Follow-Up (Sway): F = 1.00486 day1: 5.56729 day2: 5.59435
2022-10-03,2022-10-04,SA1860,TS058,Follow-Up (Sway): F = 1.01546 day1: 6.47994 day2: 6.58015
2022-10-04,2022-10-05,SA1745,TS008,In Order
2022-10-04,2022-10-05,SA1745,TS013,In Order
2022-10-04,2022-10-05,SA1745,TS015,In Order
2022-10-04,2022-10-05,SA2322,TS001,Follow-Up (Sway): F = 1.05701 day1: 5.41361 day2: 5.72228
2022-10-04,2022-10-05,SA1652,TS003,In Order
2022-10-04,2022-10-05,SA1707,TS001,No Data
2022-10-04,2022-10-05,SA1706,TS001,In Order
2022-10-04,2022-10-05,SA1860,TS058,In Order
2022-10-05,2022-10-06,SA1745,TS008,Follow-Up (Sway): F = 1.07801 day1: 1.22796 day2: 1.32376
2022-10-05,2022-10-06,SA1745,TS013,In Order
2022-10-05,2022-10-06,SA1745,TS015,Follow-Up (Sway): F = 1.42643 day1: 9.02543 day2: 1.28742
2022-10-05,2022-10-06,SA2322,TS001,In Order
2022-10-05,2022-10-06,SA1652,TS003,In Order
2022-10-05,2022-10-06,SA1707,TS001,No Data
2022-10-05,2022-10-06,SA1706,TS001,"Follow-Up (Sway): F = 4.72659 day1: 5.36163 day2: 2.53422, Follow-Up (Trend) day1: 0.06953 day2: 0.06302"
2022-10-05,2022-10-06,SA1860,TS058,In Order
2022-10-06,2022-10-07,SA1745,TS008,Follow-Up (Sway): F = 1.41372 day1: 1.32376 day2: 1.87143
2022-10-06,2022-10-07,SA1745,TS013,Follow-Up (Sway): F = 1.07366 day1: 4.88359 day2: 5.24334
2022-10-06,2022-10-07,SA1745,TS015,Follow-Up (Sway): F = 16.0324 day1: 1.28742 day2: 0.00020
2022-10-06,2022-10-07,SA2322,TS001,In Order
2022-10-06,2022-10-07,SA1652,TS003,In Order
2022-10-06,2022-10-07,SA1707,TS001,No Data
2022-10-06,2022-10-07,SA1706,TS001,In Order
2022-10-06,2022-10-07,SA1860,TS058,Follow-Up (Sway): F = 1.16860 day1: 5.81661 day2: 6.79730
2022-10-07,2022-10-08,SA1745,TS008,In Order
2022-10-07,2022-10-08,SA1745,TS013,In Order
2022-10-07,2022-10-08,SA1745,TS015,In Order
2022-10-07,2022-10-08,SA2322,TS001,Follow-Up (Sway): F = 1.01035 day1: 5.35708 day2: 5.41255
2022-10-07,2022-10-08,SA1652,TS003,In Order
2022-10-07,2022-10-08,SA1707,TS001,No Data
2022-10-07,2022-10-08,SA1706,TS001,In Order
2022-10-07,2022-10-08,SA1860,TS058,In Order
2022-10-08,2022-10-09,SA1745,TS008,Follow-Up (Sway): F = 1.46587 day1: 1.09397 day2: 1.60362
2022-10-08,2022-10-09,SA1745,TS013,Follow-Up (Sway): F = 1.12032 day1: 4.84031 day2: 5.42274
2022-10-08,2022-10-09,SA1745,TS015,Follow-Up (Sway): F = 4.99613 day1: 1.46741 day2: 7.33139
2022-10-08,2022-10-09,SA2322,TS001,In Order
2022-10-08,2022-10-09,SA1652,TS003,Follow-Up (Sway): F = 1.02468 day1: 5.33050 day2: 5.46207
2022-10-08,2022-10-09,SA1707,TS001,No Data
2022-10-08,2022-10-09,SA1706,TS001,Follow-Up (Sway): F = 1.14633 day1: 5.45593 day2: 6.25433
2022-10-08,2022-10-09,SA1860,TS058,Follow-Up (Sway): F = 1.25536 day1: 5.74892 day2: 7.21698
2022-10-09,2022-10-10,SA1745,TS008,In Order
2022-10-09,2022-10-10,SA1745,TS013,In Order
2022-10-09,2022-10-10,SA1745,TS015,In Order
2022-10-09,2022-10-10,SA2322,TS001,In Order
2022-10-09,2022-10-10,SA1652,TS003,In Order
2022-10-09,2022-10-10,SA1707,TS001,No Data
2022-10-09,2022-10-10,SA1706,TS001,In Order
2022-10-09,2022-10-10,SA1860,TS058,In Order
2022-10-10,2022-10-11,SA1745,TS008,Follow-Up (Sway): F = 1.86181 day1: 8.11730 day2: 1.51129
2022-10-10,2022-10-11,SA1745,TS013,In Order
2022-10-10,2022-10-11,SA1745,TS015,In Order
2022-10-10,2022-10-11,SA2322,TS001,Follow-Up (Sway): F = 1.08504 day1: 5.32046 day2: 5.77296
2022-10-10,2022-10-11,SA1652,TS003,In Order
2022-10-10,2022-10-11,SA1707,TS001,No Data
2022-10-10,2022-10-11,SA1706,TS001,In Order
2022-10-10,2022-10-11,SA1860,TS058,Follow-Up (Sway): F = 1.05244 day1: 6.77677 day2: 7.13215
2022-10-11,2022-10-12,SA1745,TS008,Follow-Up (Sway): F = 1.36550 day1: 1.51129 day2: 2.06367
2022-10-11,2022-10-12,SA1745,TS013,Follow-Up (Sway): F = 1.07290 day1: 5.04958 day2: 5.41773
2022-10-11,2022-10-12,SA1745,TS015,In Order
2022-10-11,2022-10-12,SA2322,TS001,In Order
2022-10-11,2022-10-12,SA1652,TS003,In Order
2022-10-11,2022-10-12,SA1707,TS001,No Data
2022-10-11,2022-10-12,SA1706,TS001,Follow-Up (Sway): F = 1.01990 day1: 5.61643 day2: 5.72820
2022-10-11,2022-10-12,SA1860,TS058,Follow-Up (Sway): F = 1.15883 day1: 7.36481 day2: 8.53459
2022-10-12,2022-10-13,SA1745,TS008,In Order
2022-10-12,2022-10-13,SA1745,TS013,Follow-Up (Sway): F = 1.00496 day1: 5.41773 day2: 5.44465
2022-10-12,2022-10-13,SA1745,TS015,Follow-Up (Sway): F = 1.00675 day1: 4.60157 day2: 4.63266
2022-10-12,2022-10-13,SA2322,TS001,Follow-Up (Sway): F = 1.02249 day1: 5.56807 day2: 5.69332
2022-10-12,2022-10-13,SA1652,TS003,In Order
2022-10-12,2022-10-13,SA1707,TS001,No Data
2022-10-12,2022-10-13,SA1706,TS001,In Order
2022-10-12,2022-10-13,SA1860,TS058,In Order
2022-10-13,2022-10-14,SA1745,TS008,Follow-Up (Sway): F = 2.44024 day1: 9.88250 day2: 2.41157
2022-10-13,2022-10-14,SA1745,TS013,Follow-Up (Sway): F = 1.11970 day1: 5.44465 day2: 6.09642
2022-10-13,2022-10-14,SA1745,TS015,Follow-Up (Sway): F = 1.64061 day1: 4.63266 day2: 7.60040
2022-10-13,2022-10-14,SA2322,TS001,In Order
2022-10-13,2022-10-14,SA1652,TS003,In Order
2022-10-13,2022-10-14,SA1707,TS001,No Data
2022-10-13,2022-10-14,SA1706,TS001,Follow-Up (Sway): F = 1.03569 day1: 5.59934 day2: 5.79921
2022-10-13,2022-10-14,SA1860,TS058,In Order
2022-10-14,2022-10-15,SA1745,TS008,No Data
2022-10-14,2022-10-15,SA1745,TS013,"Follow-Up (Sway): F = 25.3235 day1: 6.09642 day2: 0.00015, Follow-Up (Trend) day1: 0.12625 day2: 0.12085"
2022-10-14,2022-10-15,SA1745,TS015,In Order
2022-10-14,2022-10-15,SA2322,TS001,In Order
2022-10-14,2022-10-15,SA1652,TS003,Follow-Up (Sway): F = 1.02509 day1: 5.27240 day2: 5.40471
2022-10-14,2022-10-15,SA1707,TS001,No Data
2022-10-14,2022-10-15,SA1706,TS001,Follow-Up (Sway): F = 1.05419 day1: 5.79921 day2: 6.11352
2022-10-14,2022-10-15,SA1860,TS058,Follow-Up (Sway): F = 1.26338 day1: 6.61526 day2: 8.35760
2022-10-15,2022-10-16,SA1745,TS008,", Follow-Up (Trend) day1: 0.09194 day2: 0.09116"
2022-10-15,2022-10-16,SA1745,TS013,", Follow-Up (Trend) day1: 0.10892 day2: 0.10845"
2022-10-15,2022-10-16,SA1745,TS015,In Order
2022-10-15,2022-10-16,SA2322,TS001,In Order
2022-10-15,2022-10-16,SA1652,TS003,Follow-Up (Sway): F = 1.00149 day1: 5.34167 day2: 5.34967
2022-10-15,2022-10-16,SA1707,TS001,No Data
2022-10-15,2022-10-16,SA1706,TS001,In Order
2022-10-15,2022-10-16,SA1860,TS058,In Order
2022-10-16,2022-10-17,SA1745,TS008,", Follow-Up (Trend) day1: 0.10845 day2: 0.08949"
2022-10-16,2022-10-17,SA1745,TS013,In Order
2022-10-16,2022-10-17,SA1745,TS015,Follow-Up (Sway): F = 1.09011 day1: 4.52380 day2: 4.93148
2022-10-16,2022-10-17,SA2322,TS001,In Order
2022-10-16,2022-10-17,SA1652,TS003,Follow-Up (Sway): F = 1.03796 day1: 5.34967 day2: 5.55279
2022-10-16,2022-10-17,SA1707,TS001,No Data
2022-10-16,2022-10-17,SA1706,TS001,Follow-Up (Sway): F = 1.03403 day1: 5.50363 day2: 5.69094
2022-10-16,2022-10-17,SA1860,TS058,In Order
2022-10-16,2022-10-17,SA1745,TS008,"day1 Kurtosis: 2.828187197155805, day2 Kurtosis: 2.9940154849748866"
2022-10-16,2022-10-17,SA1745,TS013,"day1 Kurtosis: 1.082061410456301, day2 Kurtosis: 1.0652745204339293Follow-Up (Sway): F = 1.12738 day1: 0.00029 day2: 0.00032, Follow-Up (Trend) day1: 0.10845 day2: 0.10713"
